Product_name,Count_Colour,Gender,Price_before_Promotion (£),Promotion_Percentage (%),Price_after_Promotion (£)
Nike SportswearWomen's Oversized Pullover Hoodie,1,Female,74.9,40.0,44.94
JordanEveryday Ankle Socks (3 Pairs),2,Unisex,17.95,,17.95
Nike Dri-FIT Run Division Rise 365Men's Short-Sleeve Running Top,2,Male,44.95,,44.95
Nike ClubMen's French Terry Tracksuit Bottoms,5,Male,59.95,,59.95
Nike ACGMen's T-Shirt,2,Male,44.95,,44.95
Nike x Martine RoseTrench Coat,2,Unisex,459.95,,459.95
Nike Dri-FIT ChallengerMen's 18cm (approx.) Unlined Versatile Shorts,4,Male,44.95,,44.95
Nike Dri-FIT UV Run Division MilerMen's Graphic Short-Sleeve Top,1,Male,39.95,,39.95
Nike Sportswear Phoenix FleeceWomen's Oversized 3/4-Sleeve Dress,2,Female,69.9,50.0,34.95
Nike Forward TrousersWomen's Trousers,2,Female,109.95,,109.95
Liverpool F.C. StrikeMen's Nike Dri-FIT Short-Sleeve Football Top,1,Male,39.95,,39.95
Nike Pro Dri-FITMen's Short-Sleeve Top,2,Male,44.95,,44.95
Nike SBFleece Skate Crew,1,Unisex,99.95,,99.95
Nike Sportswear Max90Men's T-Shirt,3,Male,37.95,,37.95
Nike Trail Solar ChaseMen's Dri-FIT Short-Sleeve Running Top,1,Male,54.9,,54.9
Nike Repel Run DivisionMen's Running Singlet,2,Male,134.0,29.0,95.14
Croatia 2022/23 Match HomeMen's Nike Dri-FIT ADV Football Shirt,1,Male,114.95,,114.95
Nike Sportswear Phoenix FleeceWomen's High-Waisted Fleece Joggers,2,Female,72.9,29.0,51.76
Brooklyn Nets Courtside City EditionWomen's Nike NBA Tracksuit Bottoms,1,Female,64.9,40.0,38.94
Nike Dri-FIT StrikeWomen's Football Trousers,2,Female,54.95,,54.95
San Antonio Spurs ClubMen's Nike NBA Pullover Hoodie,1,Male,64.95,,64.95
Nike SportswearWomen's Ribbed Long-Sleeve Top,2,Female,54.95,,54.95
JordanWomen's Woven Shorts,3,Female,59.95,,59.95
Jordan Flight EssentialsMen's T-Shirt,4,Male,37.95,,37.95
Eintracht Frankfurt 2023/24 Stadium HomeWomen's Nike Dri-FIT Football Shirt,1,Female,79.95,,79.95
Nike ACGButtles Gilet,1,Unisex,159.95,,159.95
FFF 2022/23 Stadium HomeMen's Nike Dri-FIT Football Shorts,1,Male,37.95,,37.95
Nike Storm-FIT Phenom EliteMen's Running Tights,1,Male,79.95,,79.95
Nike Dri-FITMen's Graphic Fitness T-Shirt,1,Male,44.9,29.0,31.88
Nike Sportswear ClubMen's Stretch Shorts,2,Male,32.95,,32.95
Golden State Warriors SpotlightMen's Nike Dri-FIT NBA Trousers,1,Male,69.95,,69.95
Nike MilerMen's Dri-FIT Running Tank Top,3,Male,27.95,,27.95
F.C. Barcelona 2023/24 Stadium FourthWomen's Nike Dri-FIT Football Shirt,0,Female,79.95,,79.95
Nike Dri-FIT IconMen's Basketball Shorts,4,Male,27.95,,27.95
Jordan Artist Series by Umar RashidMen's Fleece Pullover Hoodie,2,Male,79.95,,79.95
Nike Dry GraphicMen's Dri-FIT Hooded Fitness Pullover Hoodie,1,Male,59.9,10.0,53.91
Nike Dri-FIT Swoosh FlyWomen's T-shirt,2,Female,37.95,,37.95
Nike AirMen's Joggers,4,Male,64.95,,64.95
Nike Sportswear Premium EssentialsMen's Oversized T-shirt,4,Male,44.95,,44.95
Nike Storm-FIT ADV ACG 'Chain of Craters'Women's Jacket,1,Female,314.95,,314.95
Nike Dri-FIT RafaMen's Tennis Jacket,5,Male,87.95,,87.95
Liverpool F.C. Solo SwooshMen's Nike Crew-Neck Sweatshirt,1,Male,64.95,,64.95
Nike OneWomen's Mid-Rise Printed Leggings,2,Female,59.9,40.0,35.94
Nike Dri-FIT One ElastikaWomen's Standard Fit Tank,5,Female,27.95,,27.95
JordanWomen's Graphic T-Shirt,2,Female,37.95,,37.95
Nike Everyday PlusLightweight No-Show Split-Toe Socks (2 Pairs),1,Unisex,17.95,,17.95
Jordan x UNDEFEATEDMen's Hoodie,2,Male,109.95,,109.95
Jordan BrooklynWomen's Fleece Trousers,1,Female,69.9,19.0,56.62
Nike Tech KnitMen's Dri-FIT ADV Short-sleeve Running Top,5,Male,64.95,,64.95
Nike DryMen's Dri-FIT Hooded Fitness Full-Zip Hoodie,3,Male,64.95,,64.95
Jordan FlightWomen's Fleece Crew,4,Female,72.9,39.0,44.47
Jordan BrooklynWomen's Fleece Pullover Hoodie,3,Female,69.95,,69.95
Nike Alate All UWomen's Light-Support Lightly Lined U-Neck Sports Bra,4,Female,32.95,,32.95
New Orleans Pelicans Icon Edition 2022/23Nike Dri-FIT NBA Swingman Jersey,1,Unisex,94.95,,94.95
Nike Sportswear Club FleeceJoggers,2,Unisex,49.9,34.0,32.93
Nike Spark LightweightNo-Show Running Socks,2,Unisex,16.95,,16.95
Naomi OsakaWomen's Skirt,1,Female,69.95,,69.95
Nike Club Fleece+Men's Brushed-Back Crew,4,Male,59.9,40.0,35.94
Nike Club Fleece+Men's Brushed-back Trousers,2,Male,64.9,40.0,38.94
Paris Saint-Germain Strike FourthMen's Jordan Dri-FIT Woven Football Tracksuit,1,Male,124.0,40.0,74.4
Nike SportswearWomen's Short-Sleeve Jersey Jumpsuit,2,Female,79.95,,79.95
Nike Sportswear EssentialWomen's High-Waisted Woven Skirt,1,Female,59.95,,59.95
Inter Milan 2022/23 Match HomeMen's Nike Dri-FIT ADV Football Shirt,1,Male,114.0,29.0,80.94
Jordan Essential HolidayMen's Hoodie,1,Male,72.9,,72.9
Nike Sportswear Standard IssueMen's Cargo Trousers,1,Male,59.9,19.0,48.52
Nike Sportswear Phoenix FleeceWomen's Oversized Crew-Neck Sweatshirt (Plus Size),15,Female,64.9,29.0,46.08
Nike Dri-FIT ChallengerMen's Woven Running Trousers,2,Male,59.95,,59.95
Jordan ChicagoWomen's Trousers,2,Female,89.95,,89.95
Nike ACG Therma-FIT 'Wolf Tree'Men's Pullover Hoodie,3,Male,124.95,,124.95
Nike Phenom EliteMen's Woven Running Trousers,1,Male,77.95,,77.95
Paris Saint-Germain SNKR SoxFootball Crew Socks,1,Unisex,10.95,,10.95
Jordan Dri-FIT SportMen's Air Fleece Full-Zip Hoodie,1,Male,89.9,,89.9
Jordan Flight FleeceMen's Washed Pullover Hoodie,4,Male,89.95,,89.95
Nike Dri-FIT AdvantageWomen's High-Waisted 10cm (approx.) Tennis Shorts,4,Female,37.95,,37.95
Jordan FemmeWomen's Dress,1,Female,79.95,,79.95
Nike Sportswear EssentialWomen's Fleece High-Rise Shorts (Plus Size),1,Female,39.95,,39.95
Netherlands Club FleeceWomen's Nike Mid-Rise Trousers,1,Female,49.95,,49.95
Tottenham Hotspur Club FleeceMen's Pullover Hoodie,1,Male,59.9,19.0,48.52
Nike ProMen's Dri-FIT Fitness Tights,2,Male,37.95,,37.95
Nike Victory LogoWomen's Full Coverage Swim Tunic,2,Female,89.95,,89.95
Chicago Bulls CourtsideMen's Nike NBA Fleece Sweatshirt,1,Male,64.95,,64.95
Nike APSMen's Dri-FIT ADV Woven Versatile Trousers,2,Male,109.95,,109.95
Nike Dri-FIT Run DivisionWomen's Reflective Design Running Jacket,2,Female,119.95,,119.95
Los Angeles Lakers CourtsideMen's Nike NBA Pullover Fleece Hoodie,1,Male,69.95,,69.95
Nike Sportswear EssentialWomen's Dress,3,Female,34.9,29.0,24.78
Nike Sportswear Premium EssentialsMen's Tie-Dye Max90 T-Shirt,3,Male,39.95,,39.95
Nike SportswearMen's T-Shirt,3,Male,44.95,,44.95
Team 31 Standard IssueMen's Nike Dri-FIT NBA Reversible Jersey,1,Male,59.95,,59.95
Nike Therma-FIT ClubMen's Woven Insulated Gilet,2,Male,72.9,39.0,44.47
Nike Therma-FIT ADV A.P.S.Men's Fleece Fitness Crew,3,Male,119.95,,119.95
Nike SportswearWomen's Jersey Wave-Dye Shorts,3,Female,54.9,19.0,44.47
Nike Everyday PlusCushioned Crew Socks,2,Unisex,13.95,,13.95
Jordan Flight MVPMen's Full-Zip Hoodie,2,Male,89.9,40.0,53.94
Croatia 2022/23 Stadium HomeWomen's Nike Dri-FIT Football Shirt,1,Female,79.95,,79.95
Nike ZenvyWomen's Gentle-Support Mid-Rise 20cm (approx.) Biker Shorts,2,Female,59.95,,59.95
Nike UnlimitedMen's Dri-FIT 18cm (approx.) Unlined Versatile Shorts,5,Male,49.95,,49.95
JordanWomen's Graphic Girlfriend T-Shirt,1,Female,37.95,,37.95
Nike AirMen's Graphic T-Shirt,4,Male,27.95,,27.95
Paris Saint-Germain StrikeWomen's Nike Dri-FIT Knit Football Top,1,Female,44.95,,44.95
Nike ACG 'Wolf Tree'Women's Top,2,Female,119.95,,119.95
Jordan x UnionMen's Tracksuit Jacket,1,Male,134.0,10.0,120.6
Memphis Grizzlies ClubMen's Nike NBA Pullover Hoodie,1,Male,69.95,,69.95
Nike Trail RepelWomen's Trail-Running Gilet,1,Female,82.95,,82.95
Nike Dry GraphicMen's Dri-FIT Taper Fitness Trousers,1,Male,59.9,10.0,53.91
Nike x JacquemusWomen's Polo,1,Female,114.95,,114.95
Nike Pro Dri-FITWomen's Graphic Crop Tank,1,Female,37.9,28.0,27.29
Nike Dri-FITMen's Camo Tapered Fitness Trousers,1,Male,59.95,,59.95
Nike LifeMen's Long-sleeve Heavyweight Waffle Top,1,Male,64.9,40.0,38.94
Nike Axis Performance SystemMen's Dri-FIT ADV Versatile Top,3,Male,64.95,,64.95
Jordan EssentialsMen's Fleece Pullover Hoodie,4,Male,72.95,,72.95
Nike LifeMen's Woven Insulated Military Gilet,3,Male,87.95,,87.95
Brooklyn Nets Standard IssueMen's Nike Dri-FIT NBA Sweatshirt,1,Male,72.95,,72.95
Nike Therma-FIT Run DivisionMen's 1/2-Zip Running Top,2,Male,84.9,40.0,50.94
Jordan Flight MVPMen's T-shirt,3,Male,37.95,,37.95
Nike Dri-FIT VictoryMen's Striped Golf Polo,1,Male,39.95,,39.95
Nike Dri-FIT AcademyMen's Football Tracksuit Bottoms,2,Male,49.9,40.0,29.94
Nike One (M)Women's High-Waisted Leopard Print Leggings (Maternity),1,Female,69.9,40.0,41.94
Nike LifeMen's Harrington Jacket,1,Male,109.0,40.0,65.4
Nike SneakerkiniWomen's Scoop Neck Bikini Top,2,Female,49.95,,49.95
Nike SBSkate T-Shirt,2,Unisex,32.95,,32.95
Tottenham Hotspur StrikeMen's Nike Dri-FIT Football Drill Top,2,Male,64.95,,64.95
Jordan Flight FleeceMen's Shorts,5,Male,64.95,,64.95
Nike Sportswear Standard IssueMen's Cargo Trousers,1,Male,54.9,29.0,38.98
Jordan x Eastside GolfMen's T-Shirt,2,Male,44.95,,44.95
Nike ProWomen's Mid-Rise 7/8 Printed Leggings,2,Female,44.95,,44.95
Nike Therma-FIT ADV Run DivisionWomen's 1/2-Zip Top,1,Female,114.0,29.0,80.94
Liverpool F.C. StrikeWomen's Nike Dri-FIT Knit Football Top,2,Female,44.95,,44.95
Nike Go Helmet Historic Raglan (NFL Dallas Cowboys)Men's Sweatshirt,1,Male,59.9,40.0,35.94
Nike SolidMen's Swimming Briefs,1,Male,37.95,,37.95
Nike Pro Dri-FITMen's Shorts,3,Male,32.95,,32.95
Rafa ChallengerMen's Nike Dri-FIT Short-Sleeve Tennis Top,4,Male,59.95,,59.95
FFFWomen's Nike Dri-FIT Anthem Football Jacket,1,Female,79.95,,79.95
Nike GORE-TEX INFINIUM ™Men's Trail Running Jacket,3,Male,179.0,40.0,107.4
Nike Dri-FIT OneWomen's High-Waisted 18cm (approx.) Biker Shorts,1,Female,32.9,,32.9
Nike SportswearWomen's Woven Joggers,4,Female,64.95,,64.95
Nike Max90Men's Basketball T-Shirt,1,Male,34.95,,34.95
Nike SportswearWomen's Oversized Fleece Crew-Neck Sweatshirt,2,Female,59.95,,59.95
Paris Saint-Germain 2023/24 Stadium AwayWomen's Nike Dri-FIT Football Shirt,0,Female,79.95,,79.95
NetherlandsWomen's Pullover Fleece Football Hoodie,1,Female,64.95,,64.95
Atlanta Hawks EssentialMen's Nike NBA T-Shirt,1,Male,32.95,,32.95
Nike Tempo LuxeWomen's Running Shorts,1,Female,37.95,,37.95
Jordan ChicagoWomen's Trousers,1,Female,119.95,,119.95
Nike Starting 5Men's Therma-FIT Basketball Trousers,1,Male,44.9,29.0,31.88
Nike LifeMen's Long-sleeve Heavyweight Waffle Top,1,Male,64.9,29.0,46.08
Liverpool F.C. StrikeWomen's Nike Dri-FIT Crew-Neck Football Drill Top,2,Female,64.95,,64.95
Boston Celtics Max90Men's Nike NBA T-Shirt,1,Male,37.95,,37.95
Nike Yoga Dri-FITWomen's Top (Plus Size),3,Female,27.9,,27.9
FFF 2023 Stadium AwayWomen's Nike Dri-FIT Football Shorts,1,Female,39.95,,39.95
F.C. Barcelona 2023/24 Stadium HomeMen's Nike Dri-FIT Football Shirt,0,Male,79.95,,79.95
NikeCourt Dri-FIT VictoryMen's 23cm (approx.) Tennis Shorts,4,Male,39.95,,39.95
Nike Sportswear ClubMen's Pullover Hoodie,6,Male,59.95,,59.95
Liverpool F.C.Women's Nike Dri-FIT Pullover Hoodie,1,Female,74.95,,74.95
Nike Dri-FIT ADV Run Division PinnacleMen's 1/2-Length Running Tights,2,Male,79.95,,79.95
Air Jordan WordmarkWomen's Fleece Trousers,2,Female,84.9,14.0,73.01
Nike Dri-FIT OneWomen's Crop Tank Top,2,Female,32.95,,32.95
Atlético MadridWomen's Nike Dri-FIT Pullover Hoodie,1,Female,74.95,,74.95
Jordan EssentialsMen's Warm-Up Trousers,2,Male,89.95,,89.95
Tottenham Hotspur Strike AwayNike Knee-high Football Socks,1,Unisex,17.95,,17.95
Nike Club FleeceMen's French Terry Pullover Hoodie,1,Male,64.95,,64.95
Nike Therma-FIT ADV City ReadyWomen's 1/4-Zip Top,2,Female,144.95,,144.95
Nike ClubMen's French Terry Crew,5,Male,59.95,,59.95
Paris Saint-GermainMen's Anthem Jacket,1,Male,134.95,,134.95
Jordan Dri-FIT SportMen's Fleece Sleeveless Hoodie,2,Male,54.95,,54.95
NFL Los Angeles Rams (Aaron Donald)Men's Game American Football Jersey,1,Male,84.95,,84.95
Nike LifeMen's Padded Hooded Jacket,2,Male,174.95,,174.95
Nike Everyday EssentialCrew Socks,1,Unisex,16.95,,16.95
Jordan 23 EngineeredWomen's Fleece Trousers,2,Female,124.0,40.0,74.4
Nike Sportswear EssentialWomen's Slim-Fit Crop T-Shirt,5,Female,34.95,,34.95
Nike SportswearWomen's Ribbed Tank,2,Female,37.95,,37.95
Nike Dri-FIT OneWomen's Slim-Fit Short-Sleeve Top,2,Female,32.95,,32.95
Nike Max90Men's Basketball T-shirt,2,Male,39.95,,39.95
Jordan EssentialsMen's Poolside Shorts,5,Male,49.95,,49.95
Nike SBMen's Skate T-Shirt,1,Male,37.95,,37.95
Nike Sportswear EssentialWomen's Mid-Rise 25cm (approx.) Biker Shorts,2,Female,32.95,,32.95
Nike AuthenticsMen's Tear-away Trousers,1,Male,89.9,29.0,63.83
Jordan Sport JamMen's Warm-Up Jacket,3,Male,109.95,,109.95
NetherlandsMen's Nike Fleece-Lined Hooded Jacket,1,Male,109.0,45.0,59.95
Nike Dri-FIT AcademyMen's Sweatshirt Football Hoodie,1,Male,54.9,40.0,32.94
Nike Dri-FIT UV HyverseMen's Short-Sleeve Fitness Top,2,Male,37.95,,37.95
Stephen Curry 2023 All-Star EditionJordan Dri-FIT NBA Swingman Jersey,3,Unisex,94.9,40.0,56.94
Nike SportswearWomen's T-Shirt,2,Female,24.95,,24.95
Jordan FlightWomen's Knit Top,3,Female,54.9,40.0,32.94
Nike Repel UnlimitedMen's Water-Repellent Hooded Versatile Jacket,2,Male,82.95,,82.95
Nike Sportswear ClubMen's Joggers,8,Male,49.95,,49.95
Jordan 23 EngineeredMen's Fleece Trousers,1,Male,74.95,,74.95
Nike Dri-FIT ADV APSMen's 15cm (approx.) Unlined Versatile Shorts,2,Male,89.95,,89.95
Barcelona EverydayNike Socks (3 Pairs),1,Unisex,19.95,,19.95
Nike College Dri-FIT (Texas) (Kevin Durant)Men's Limited Jersey,1,Male,89.9,40.0,53.94
Nike Running Division AerogamiWomen's Storm-FIT ADV Jacket,1,Female,209.95,,209.95
Netherlands 2023 Stadium AwayWomen's Nike Dri-FIT Football Shorts,1,Female,39.95,,39.95
Los Angeles Lakers ShowtimeMen's Nike Dri-FIT NBA Full-Zip Hoodie,1,Male,119.0,40.0,71.4
Tottenham Hotspur 2022/23 Stadium Home/AwayMen's Nike Dri-FIT Football Shorts,1,Male,37.9,28.0,27.29
Nike Logo Essential (NFL Tampa Bay Buccaneers)Men's T-Shirt,1,Male,32.9,18.0,26.98
Jordan FlightWomen's Trench Jacket,1,Female,179.0,40.0,107.4
Jordan SportWomen's Long-Sleeve Crop Top,2,Female,49.9,40.0,29.94
Nike Dri-FIT DNAMen's Basketball Jersey,1,Male,87.95,,87.95
Nike Starting 5Men's Therma-FIT Basketball Trousers,2,Male,49.95,,49.95
Milwaukee BucksMen's Nike NBA T-Shirt,2,Male,32.95,,32.95
Chicago Bulls ClubMen's Nike NBA Pullover Hoodie,1,Male,64.95,,64.95
Nike VictoryWomen's Slim Full-Coverage Swimming Leggings,2,Female,77.95,,77.95
Nike Club Fleece+Men's Trousers,2,Male,64.9,40.0,38.94
Nike Dri-FIT OneWomen's Printed Crop Tank Top (Plus Size),4,Female,37.9,10.0,34.11
Jordan SportMen's Graphic T-Shirt,3,Male,37.95,,37.95
Nike Impossibly LightWomen's Hooded Running Jacket,2,Female,89.95,,89.95
Jordan 23 EngineeredMen's Jacket,2,Male,99.9,40.0,59.94
Nike Sportswear ClassicsWomen's High-Waisted Graphic Leggings (Plus Size),1,Female,39.95,,39.95
Nike Dri-FIT StrikeMen's Football Pants,4,Male,54.95,,54.95
Korea Academy ProMen's Full-Zip Knit Football Jacket,1,Male,74.9,50.0,37.45
Nike ProMen's Dri-FIT Brief Shorts,1,Male,32.95,,32.95
FFFWomen's T-shirt,1,Female,27.95,,27.95
Nike Sportswear RepeatMen's Lightweight Woven Trousers,2,Male,72.9,29.0,51.76
Nike Solo SwooshT-Shirt,1,Unisex,39.95,,39.95
Chicago Bulls Courtside Statement EditionMen's Jordan NBA Fleece Sweatshirt,2,Male,64.95,,64.95
Nike Sportswear TrendMen's Trousers,2,Male,89.9,40.0,53.94
Nike IndyWomen's Light-Support 1-Piece Pad V-Neck Leopard Print Sports Bra,1,Female,39.95,,39.95
Jordan SportMen's Hooded T-Shirt,3,Male,49.95,,49.95
Nike Run DivisionWomen's Mid-Rise 8cm (approx.) 2-in-1 Reflective Design Shorts,1,Female,64.9,29.0,46.08
Nike Sportswear Phoenix FleeceWomen's Oversized 1/2-Zip Crop Sweatshirt,1,Female,64.9,40.0,38.94
Jordan JumpmanMen's T-Shirt,2,Male,32.9,,32.9
Nike Sportswear Air MaxMen's T-Shirt,1,Male,32.95,,32.95
Nike EssentialWomen's High-Waisted Swimming Bottoms,2,Female,41.95,,41.95
NikeCourt Dri-FIT SlamWomen's Tennis Skirt,1,Female,72.95,,72.95
Nike Sportswear Style EssentialsMen's Utility Trousers,1,Male,79.9,50.0,39.95
Nike Sportswear EssentialWomen's T-Shirt (Plus Size),3,Female,37.95,,37.95
F.C. Barcelona 2022/23 Match HomeMen's Nike Dri-FIT ADV Football Shorts,1,Male,64.95,,64.95
NikeCourt Multiplier MaxTennis Ankle Socks (2 Pairs),2,Unisex,16.95,,16.95
Nike LifeMen's Long-sleeve Heavyweight Waffle Top,2,Male,64.95,,64.95
Nike Indy Plunge Cut-OutWomen's Medium-Support Padded Sports Bra,6,Female,39.95,,39.95
Jordan Sport JamMen's Warm-Up Jacket,1,Male,109.0,40.0,65.4
Nike Everyday PlusCushioned Crew Socks (2 Pairs),2,Unisex,17.95,,17.95
Nike AirWomen's High-Waisted Woven Miniskirt,1,Female,44.95,,44.95
Nike Dri-FIT TourMen's Camo Golf Polo,1,Male,64.9,,64.9
Nike Repel Run DivisionMen's Running Jacket,2,Male,164.0,40.0,98.4
Nike Dri-FIT AdvantageWomen's Long Golf Skirt,3,Female,64.95,,64.95
Nike Sportswear Tech FleeceMen's Shorts,3,Male,69.95,,69.95
Chelsea F.C. StrikeWomen's Nike Dri-FIT Football Drill Top,1,Female,59.95,,59.95
England National Team ClubMen's Nike Football Pullover Hoodie,2,Male,64.9,29.0,46.08
Nike Swoosh On The RunWomen's Medium-Support Lightly Lined Sports Bra with Pockets,3,Female,49.9,29.0,35.43
Nike Swoosh RunWomen's Mid-Rise 7/8-Length Running Leggings,6,Female,44.9,,44.9
Jordan EssentialsMen's Fleece Trousers,6,Male,64.95,,64.95
Nike AirMen's Woven Tracksuit Jacket,2,Male,77.95,,77.95
Nike Dri-FIT TourMen's Golf Gilet,1,Male,72.95,,72.95
Nike Dri-FIT ADV A.P.S.Men's Short-Sleeve Fitness Top,1,Male,64.95,,64.95
Los Angeles Lakers ShowtimeMen's Nike Dri-FIT NBA Trousers,1,Male,84.95,,84.95
Nike Sportswear Solo SwooshMen's Tracksuit Bottoms,1,Male,114.0,29.0,80.94
Los Angeles Lakers Standard IssueMen's Nike Dri-FIT NBA Hoodie,1,Male,82.95,,82.95
Nike AirMen's Woven Jacket,2,Male,112.0,29.0,79.52
Nike Sportswear Tech WovenMen's N24 Packable Lined Jacket,2,Male,119.95,,119.95
Nike One Leak Protection: PeriodWomen's Mid-Rise 18cm (approx.) Biker Shorts,4,Female,54.95,,54.95
Nike Sportswear AirWomen's High-Waisted Woven Trousers,2,Female,72.95,,72.95
Los Angeles Lakers Association Edition 2022/23Nike Dri-FIT NBA Swingman Jersey,2,Unisex,94.95,,94.95
Jordan ParisMen's Short-Sleeve T-Shirt,1,Male,27.9,19.0,22.6
Nike Sportswear Therma-FIT Tech PackWomen's Cardigan,2,Female,134.0,40.0,80.4
Nike Dri-FITMen's Sleeveless Fleece Fitness Top,1,Male,59.9,19.0,48.52
Nike Dri-FITWomen's Basketball Jersey,1,Female,49.95,,49.95
Pumas UNAM 2021/22 Stadium ThirdMen's Nike Dri-FIT Football Shirt,1,Male,69.9,50.0,34.95
ZionMen's T-Shirt,1,Male,37.95,,37.95
"Nike ACG ""Cinder Cone""Men's Windproof Jacket",3,Male,129.95,,129.95
Jordan SportMen's Golf Gilet,2,Male,104.95,,104.95
Nike Swoosh On The RunWomen's Medium-Support Lightly Lined Sports Bra with Pack,1,Female,69.95,,69.95
Nike Storm-FIT ADVMen's Full-Zip Golf Jacket,1,Male,219.95,,219.95
Inter MilanWomen's T-shirt,1,Female,27.95,,27.95
Nike Alate EllipseWomen's Medium-Support Padded Longline Sports Bra,6,Female,49.9,29.0,35.43
JordanWomen's Graphic Girlfriend T-Shirt,2,Female,37.95,,37.95
Jordan SportWomen's Logo Leggings,1,Female,59.95,,59.95
New York Knicks EssentialMen's Nike NBA T-Shirt,1,Male,32.95,,32.95
Nike FastWomen's Mid-Rise Crop Running Leggings,3,Female,44.9,24.0,34.12
Jordan FlightCrew Basketball Socks,2,Unisex,16.95,,16.95
Nike Therma-FIT Run DivisionWomen's Running Trousers,1,Female,124.95,,124.95
Nike Dri-FIT ADV TourMen's 1/2-Zip Golf Top,1,Male,89.9,40.0,53.94
The Nike PoloMen's Slim-Fit Polo,1,Male,64.9,40.0,38.94
F.C. Barcelona StrikeMen's Nike Dri-FIT Knit Football Shorts,1,Male,37.95,,37.95
Nike Pro Dri-FIT Vent MaxMen's Training Trousers,1,Male,64.95,,64.95
Brooklyn Nets CourtsideMen's Nike NBA Long-Sleeve Max90 T-Shirt,1,Male,49.95,,49.95
Nike ACG 'Oregon Series' ReissueMen's Reversible Jacket,2,Male,314.95,,314.95
Nike Sportswear Phoenix FleeceWomen's High-Waisted Joggers (Plus Size),1,Female,54.95,,54.95
Jordan EssentialsMen's Statement Fleece Washed Pullover Hoodie,1,Male,89.95,,89.95
Nike SportswearMen's Sports Utility Gilet,1,Male,72.9,44.0,40.82
Nike Dri-FIT Swoosh RunWomen's Running Shorts,1,Female,22.95,,22.95
Nike Dri-FIT EssentialWomen's Running Trousers,1,Female,77.95,,77.95
Nike ACG Dri-FIT ADV 'Lava Tree'Men's UV Hoodie,4,Male,72.95,,72.95
NikeWomen's 1/2-Zip Running Top (Plus size),8,Female,59.95,,59.95
Nike Therma-FITWomen's Synthetic Fill Jacket,1,Female,94.95,,94.95
Tottenham Hotspur CrestWomen's Football T-Shirt,1,Female,27.9,10.0,25.11
Nike Sportswear Phoenix FleeceWomen's Oversized 1/2-Zip Crop Sweatshirt,4,Female,59.95,,59.95
Paris Saint-Germain StrikeWomen's Jordan Dri-FIT Football Drill Top,1,Female,59.9,40.0,35.94
Poland 2022/23 Stadium HomeWomen's Nike Dri-FIT Football Shirt,1,Female,79.95,,79.95
Nike Sportswear Air MaxMen's Crew-Neck Sweatshirt,3,Male,72.9,39.0,44.47
Air Jordan WordmarkMen's Fleece Hoodie,2,Male,109.0,14.0,93.74
Nike SBFleece Skate Crew,1,Unisex,69.9,29.0,49.63
Nike Rise 365Men's Dri-FIT Running Tank Top,1,Male,37.9,,37.9
NetherlandsMen's French Terry Football Hoodie,1,Male,74.9,40.0,44.94
Nike Dri-FITMen's Golf Hoodie,1,Male,89.9,40.0,53.94
Jordan GolfMen's Trousers,2,Male,99.95,,99.95
Türkiye Academy ProMen's Knit Football Jacket,1,Male,74.95,,74.95
Los Angeles Lakers City EditionMen's Nike NBA Fleece Pullover Hoodie,1,Male,69.95,,69.95
Jordan Quai 54Women's Warm-Up Top,1,Female,69.95,,69.95
Nike Therma-FIT RepelMen's 1/4-Zip Running Top,1,Male,72.9,39.0,44.47
NikeCourt AdvantageMen's Tennis Jacket,1,Male,72.9,,72.9
Nike ProMen's Dri-FIT Tight Long-Sleeve Fitness Top,2,Male,37.95,,37.95
Nike Everyday Plus CushionedAnkle Socks,4,Unisex,16.95,,16.95
Nike Dri-FIT Stealth Evaporation City ReadyWomen's Long-Sleeve Top,1,Female,69.95,,69.95
Paris Saint-Germain ClubMen's Nike Football Crew-Neck French Terry Sweatshirt,1,Male,59.95,,59.95
Dallas Mavericks EssentialMen's Nike NBA T-Shirt,1,Male,32.95,,32.95
Jordan 23 EngineeredMen's Woven Trousers,2,Male,79.9,40.0,47.94
Nike Rise 365Men's Dri-FIT Running Tank Top,1,Male,37.95,,37.95
Jordan Flight MVPMen's Graphic Fleece Pullover Hoodie,3,Male,72.95,,72.95
Paris Saint-Germain Academy ProMen's Jordan Dri-FIT Football Top,1,Male,54.9,40.0,32.94
Jordan Sport Dri-FITMen's Mesh Shorts,2,Male,37.95,,37.95
Nike ACG Smith SummitMen's Cargo Trousers,2,Male,169.95,,169.95
NikeWomen's Sheer Crew Socks (1 Pair),2,Female,16.95,,16.95
Nike Therma-FIT Strike Winter WarriorMen's Full-Zip Football Drill Top,1,Male,79.9,29.0,56.73
Nike UniversaWomen's Medium-Support Mid-Rise 20cm (approx.) Biker Shorts with Pockets,2,Female,59.95,,59.95
Jordan (Her)itageWomen's Diamond Shorts,1,Female,54.95,,54.95
Nike ACGMen's Short-Sleeve T-Shirt,3,Male,39.95,,39.95
Nike ClubMen's Woven Straight Leg Trousers,4,Male,54.95,,54.95
Galatasaray 2022/23 GoalkeeperMen's Nike Dri-FIT Short-Sleeve Football Top,1,Male,54.9,40.0,32.94
Nike Sportswear RepeatMen's Tracksuit Jacket,2,Male,64.9,29.0,46.08
Jordan FlightWomen's Ribbed Long-Sleeve Top,1,Female,54.9,40.0,32.94
Nike Dri-FIT RaceWomen's Cropped Running Tank,3,Female,27.95,,27.95
